0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:30:18 -0300] "GET /TCC_AGORA/faces/ControlCompra?action=Tabela HTTP/1.1" 500 6282
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:30:43 -0300] "GET /TCC_AGORA/faces/ControlCompra?action=Tabela HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:32:26 -0300] "GET /TCC_AGORA/index.html HTTP/1.1" 200 9664
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:32:26 -0300] "GET /TCC_AGORA/css/css.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:32:26 -0300] "GET /TCC_AGORA/img/Logo3.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:32:26 -0300] "GET /TCC_AGORA/img/carousel/3.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:32:27 -0300] "GET /TCC_AGORA/img/929455.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:32:27 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:32:27 -0300] "GET /TCC_AGORA/img/carousel/2.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:32:27 -0300] "GET /TCC_AGORA/js/Jquery.js HTTP/1.1" 404 793
